Paper_ID,Paper Title,Citations ,Cross Link Paper ID,Cited_Paper_ID
P14,Cybersecurity knowledge graphs construction and quality assessment,31,P11,P08
P14,Cybersecurity knowledge graphs construction and quality assessment,31,P13,P10
P14,Cybersecurity knowledge graphs construction and quality assessment,31,P09,P15
P14,Cybersecurity knowledge graphs construction and quality assessment,31,P07,P12
P14,Cybersecurity knowledge graphs construction and quality assessment,31,P10,P04
P15,AI for medicine 2025: Navigating the frontier,14,P14,P04
P15,AI for medicine 2025: Navigating the frontier,14,P08,P05
P15,AI for medicine 2025: Navigating the frontier,14,P01,P09
P15,AI for medicine 2025: Navigating the frontier,14,P03,P11
P15,AI for medicine 2025: Navigating the frontier,14,P06,P10
P15,AI for medicine 2025: Navigating the frontier,14,P12,P12
