paper_name,chunk
Research paper-1.pdf,"medicine over the last half-century (Cassell 2002; Gawande 2014; Topol 2019). Treating the disease or disorder has now become the pri- mary focus. Many plausible explanations have been given for this phenomena: the rise of managed care (Mechanic and Schlesinger 1996), the creation of large and impersonal medical institutions, the various conflicts of interests that have been introduced into the doctor-patient relationship (Rodwin 1995). EHR systems have been an especially detrimental addition to the doctor-patient relationship, impeding communication (Toll 2012), increasing administrative burden (Hill Jr et al. 2013), and contributing to physi- cian burnout and depression (Friedberg et al. 2014). Verghese (2008) complains that medicine is now more concerned with treating the iPatient – the digitised collection of scans, documents, and data – than the individual flesh-and-blood patient. A number of authors have suggested that AI has significant potential to counter this trend and make the practice of medicine “more human” (Israni and Verghese 2019; Mesk´ o et al. 2018; Topol 2019). In particular, they suggest, automating the input and retrieval of patient data with AI might allow clinicians to return the patient to the centre of their attention. ‘One of [AI’s] most important effects’, claims Eric Topol, ‘will come from unshackling clinicians from electronic health records’ (Topol 2019, 288). It is not entirely clear what this group of thinkers anticipates that machines will be doing to relieve physicians of the demands of data. Given the reliance of AI systems upon enormous datasets, one might think that advances in AI will only generate further demands on physicians when it comes to their interactions with IT systems (Maddox et al. 2019). Indeed, the introduction of AI will itself generate an incentive to measure and collect more data, especially given that physicians will presumably need to monitor the performance of AI systems"
Research paper-1.pdf,"will only generate further demands on physicians when it comes to their interactions with IT systems (Maddox et al. 2019). Indeed, the introduction of AI will itself generate an incentive to measure and collect more data, especially given that physicians will presumably need to monitor the performance of AI systems and also the outcomes for patients from the use of AI (Verghese et al. 2018). In order to reduce the burdens described above, AI systems would have to be capable of gathering data without making further demands on human beings to respond to or manipulate it. It is possible that natural language processing will become advanced enough that a machine could take notes of verbal doctor-patient interactions and perhaps even extract out those elements that are most clinically relevant. However, it’s hard to imag- ine that physicians would not have to at least look over these transcripts to ensure that significant information has not been missed. It’s also possible that “virtual clini- cal assistants” might trawl through the patient’s data, and also the relevant medical literature – as is the goal of Watson — and draw the attention of the physician to only that information that is medically relevant. This would be an ambitious applica- tion of AI and would raise many of the issues we discussed below to a large degree. Moreover, again, unless physicians were willing to concede to becoming handmaidens of diagnostic AI’s, it seems that they would need to confirm the AI’s decision through their own deliberations. It’s also likely that concerns about the legal liability of the manufacturer of the AI would lead to such AI being programmed to err on the side of inclusivity in such searches and, similarly, to physicians being required to read every- thing that the machine flagged as possibly relevant."
Research paper-1.pdf,"deliberations. It’s also likely that concerns about the legal liability of the manufacturer of the AI would lead to such AI being programmed to err on the side of inclusivity in such searches and, similarly, to physicians being required to read every- thing that the machine flagged as possibly relevant. Perversely, then, such systems might actually require doctors to look at more rather than less data. 6Another reason to be sceptical that AI will increase the amount of time physi- cians have to spend time with patients derives from the economics of the provision of healthcare. Once prevention of disease and illness starts to be conceived of as part of the role of medicine, the demand for healthcare is near infinite. There is no guaran- tee that hospitals and other healthcare organisations will not simply take advantage of whatever efficiencies are generated by AI to move more patients through the sys- tem instead of allowing physicians to spend more time per patient. Indeed, given that patient ‘care’ is subtle and hard to measure, in contrast to the easily quantifiable amount of patients treated or procedures performed, there is every reason to think that institutions may tend to do precisely this. At this stage, then, the idea that AI will re-humanise medicine remains a commendable ambition rather than a reliable forecast. Realising this ambition will require both clever design of AI and a concerted campaign by the medical profession to resist the economic and institutional impera- tives that might otherwise lead to the benefits of AI accruing primarily to institutions at the expense of the experience of doctors and patients. 3 The perils of AI If AI holds out the prospect of enormous benefits, it also involves significant risks, which we survey and evaluate below. After first discussing four important issues,"
Research paper-1.pdf,"to the benefits of AI accruing primarily to institutions at the expense of the experience of doctors and patients. 3 The perils of AI If AI holds out the prospect of enormous benefits, it also involves significant risks, which we survey and evaluate below. After first discussing four important issues, which have already received a significant amount of attention in the literature — privacy, surveillance, bias in big data, and “explainability” — we then move on to consider a number of issues that have received less attention to date, including: AI’s impact on trust in medicine; its potential to deskill physicians; the danger that AI might render healthcare systems more fragile by introducing single points of failure; the likely impacts of AI on the distribution of power within healthcare institutions and systems; the vexed question of responsibility for decisions involving AI; the way in which AI may reframe healthcare; the future of care in AI-enhanced medicine; and, the enduring importance of arguments about values for the future of healthcare. 3.1 Privacy Ensuring the privacy of sensitive medical information has become an increasingly chal- lenging affair in the digital age of medicine. Digital technologies (e.g. EHR systems) have been instrumental in the effort to make patient information more easily acces- sible for both physicians and patients themselves. Unlike records stored on paper, electronic data is easily, and infinitely, reproducible, which makes it more accessible to non-healthcare organisations (e.g. governments, employers, and insurance agencies). Strong limitations that existed for those looking to gain access to paper records have often been weakened in the course of the adoption of digital storage of data. Addi- tionally, electronic data is vulnerable to remote access and manipulation and thus to theft. Cyberattacks on medical organisations are becoming increasingly common due to a variety of economic incentives"
Research paper-1.pdf,"gain access to paper records have often been weakened in the course of the adoption of digital storage of data. Addi- tionally, electronic data is vulnerable to remote access and manipulation and thus to theft. Cyberattacks on medical organisations are becoming increasingly common due to a variety of economic incentives (Kruse et al. 2017). These sorts of breaches of medical confidentiality can harm patients in a number of ways. Patients may feel embarrassed, or ashamed by the idea that someone knows 7about their sensitive medical condition(s). They can cause patients with certain stig- matised illnesses to be alienated from their communities. They can reduce a person’s opportunities for employment. They can even lead to unwarranted increases in health insurance costs. More fundamentally, insofar as privacy is concerned with control over information, patients are harmed by being made more vulnerable to the scrutiny of others, even if no one actually chooses to access their information. The increased application of AI in medicine will greatly intensify the threat to privacy in the digital age both by driving the collection of more data and also by increasing the range of uses to which data may be put. The fact that AIs require millions of datapoints for their training provides an incentive to researchers to “hoover” up any and all available data. The sorts of data that may enable an AI to make predictions relevant to healthcare outcomes also include data generated outside of the healthcare system, such as histories of activity online or information about an individual’s lifestyle gathered by various apps or wearable devices. AI also dramatically increases the amount that can be gleaned from this data and thus the amount that people have at stake when it comes to the question of who can access it. Optimists continue to hope that"
Research paper-1.pdf,"information about an individual’s lifestyle gathered by various apps or wearable devices. AI also dramatically increases the amount that can be gleaned from this data and thus the amount that people have at stake when it comes to the question of who can access it. Optimists continue to hope that privacy can be maintained through technical mea- sures. In particular, it might be thought that privacy can be preserved through the deidentification of medical data. But there are two problems here. Firstly, as we’ve noted, it is sometimes possible to determine health related information about an indi- vidual based on non-medical data. A salutary example of this occurred when Target revealed the pregnancy of a teenage girl to her family after having detected this on the basis of her purchasing history at the department store (Duhigg 2013). In order to maintain medical privacy, then, it would seem necessary for all of our data to be deidentified as opposed to mere medical data, which is likely to be resisted by many of the companies that gather data insofar as their business models rely upon the ability to target advertising to individuals. But, secondly, even if all of the data that we gen- erate as individuals were systematically deidentified, it is still possible for this data to be ‘reidentified’ once the amount of data reaches a certain – often surprisingly low – threshold (Gymrek et al. 2013). It therefore seems likely that there is a trade-off between privacy and the potential healthcare benefits that might be realised through the use of AI. Some authors have argued that we have a duty to forfeit our privacy and share our data in order to contribute to a ‘learning’ health care system that will be to the benefit of all (Cohen 2018). This supposes that"
Research paper-1.pdf,"benefits that might be realised through the use of AI. Some authors have argued that we have a duty to forfeit our privacy and share our data in order to contribute to a ‘learning’ health care system that will be to the benefit of all (Cohen 2018). This supposes that everyone has an equal likelihood of benefiting from the use of medical AI. However, as we shall see, the potential of AI to centralise political and institutional power, as well as the problem of algorithmic bias, means that the benefits of AI may very well be distributed unevenly. 3.2 Surveillance Closely related – but not identical to – the threat to privacy is the danger of increased surveillance as a result of the capacities of AI. Privacy can be violated through the accidental release of data and even by the fact that people could access data, even if no one does. Surveillance consists in the deliberate gathering of information via the 8active scrutiny of populations. Surveillance may be morally problematic even where there is no expectation of privacy. AI facilitates surveillance in at least three ways. First, as we’ve seen, AI makes it possible to gather more data and to gather new forms of data. By integrating information produced by sensors across multiple modalities, AI can produce data that is both richer and more fine-grained than ever before. Enthusiasm for big data, driven by AI, has led to researchers and corporations looking to the data generated by people’s online activities, including social media, and mobile phones for insights related to their health. Of course, once this data has been collected for purposes related to healthcare, it is also available for other investigations. Much of this data is now geo-tagged, making it possible to track people’s activities through time and space."
Research paper-1.pdf,"including social media, and mobile phones for insights related to their health. Of course, once this data has been collected for purposes related to healthcare, it is also available for other investigations. Much of this data is now geo-tagged, making it possible to track people’s activities through time and space. Second, AI makes it much easier to work with large databases and to identify patterns within data. AI systems now regularly work with millions of records, in databases with many dimensions. Machine learning algorithms can identify correlations that are too subtle for human beings to observe directly. Third, AI can do all of this automatically, without direct human oversight. It can operate 24/7, often in real time, flagging relevant findings for human attention as required. The capacity of AI to enhance surveillance is a feature as much as a bug. For instance, many applications of AI in public health contexts or to identify iatrogenic harms rely on surveillance. Interestingly, physicians and healthcare workers are them- selves likely one of the first targets of AI enhanced surveillance in order to monitor their performance (Dias et al. 2019). Nevertheless, it is clear that there are also significant ethical and political risks here. Part of what is problematic about surveillance is the loss of privacy that it involves, but this is not the whole of the matter. Surveillance, especially where licensed by the government, involves a fundamental change in the relations between organisations and individuals; between watcher and the watched. Individuals are interpolated — called into existence — as sources of risk. Everyone – or everything – is placed under suspi- cion. They are watched and measured, tagged with estimates of risk, and potentially targeted for intervention. The fact that individuals are thereby rendered vulnerable to the actions of the surveilling party is"
Research paper-1.pdf,"— called into existence — as sources of risk. Everyone – or everything – is placed under suspi- cion. They are watched and measured, tagged with estimates of risk, and potentially targeted for intervention. The fact that individuals are thereby rendered vulnerable to the actions of the surveilling party is normatively significant even if that party never chooses to act on the basis of the information it has gathered (Pettit 1997). As we will discuss further below, the introduction of these powerful new tools of surveillance also tends to go hand in hand with the centralisation of power within institutions. 3.3 Bias AI systems are only as good as the data upon which they are trained, and when this data is incomplete, unrepresentative, or misinterpreted, the results can be catastrophic. Outside of medicine, a number of high-profile cases have emerged where “bias” in the data used to train AIs have led to algorithms that produce discriminatory and/or offensive outputs. Typically, these biases disadvantage already marginalised and disadvantaged social groups. One particularly high-profile instance of bias was Google’s image recognition software identifying African-American faces as those of gorillas (Barr 2015). Similarly, online recruitment ads have been shown to present higher paid jobs to men and lower paid jobs to women (Spice 2015). The implications of 9bias for machine learning can be especially pernicious if the outputs of the AI influence the nature of the data that is subsequently used to train it (O’Neil 2017). In such cases, bias may be self-reinforcing. For instance, the use of machine learning techniques in predictive policing, where police are sent to patrol areas that are identified by an AI – on the basis of historical data about where crimes occur, as likely sites of future crimes – has been linked to “increasingly disproportionate policing of"
Research paper-1.pdf,"For instance, the use of machine learning techniques in predictive policing, where police are sent to patrol areas that are identified by an AI – on the basis of historical data about where crimes occur, as likely sites of future crimes – has been linked to “increasingly disproportionate policing of historically over-policed communities” (Lum and Isaac 2016, 19). In part this is because sending patrol cars to any location will result in an increase in reported crime given that it is the task of the police to identify and report crime. By this mechanism, initial geographic variation in the reports of crime, often as a result of racist policing, may be rapidly amplified. The data used for medical research is not now, and is unlikely ever to be, free of bias. Sex, class, and gender, all influence who presents to hospital, with what con- ditions, and how they are treated. Physicians are, regrettably, not necessarily less susceptible to racism, sexism, or other forms of bigotry, than investigators in other sciences. There is, therefore, real danger that the use of AI in medicine might deepen existing inequities in health and healthcare along the lines of race, class, and sex. Par- ticular social groups could be excluded from the benefits of medical AI or even actively harmed by medical AI systems. One striking example, of the how this might occur, which has already received some attention, relates to the use of AI for the diagnosis of skin cancers. The datasets that machine learning algorithms are being trained on for this purpose have tended to consist almost exclusively of fair-skinned individuals. Consequently, Adamson and Smith suggest that ”[a]lthough there is enthusiasm about the expectation that ML [machine learning] technology could improve early detection rates, as it stands it is possible that the only"
Research paper-1.pdf,"learning algorithms are being trained on for this purpose have tended to consist almost exclusively of fair-skinned individuals. Consequently, Adamson and Smith suggest that ”[a]lthough there is enthusiasm about the expectation that ML [machine learning] technology could improve early detection rates, as it stands it is possible that the only populations to benefit are those with fair skin” (Adamson and Smith 2018, 1247). Since biases often emerge from poor data collection and evaluation methods, it might be thought that engineers will be able to design around these problems through sufficiently careful curation and testing of data. But bias can emerge in an AI system even when the system is trained upon a high-quality datasets. Aggregation bias, for instance, results from the use of a one-size-fits-all model for populations with different statistical properties. It “can lead to a model that is not optimal for any group, or a model that is fit to the dominant population (if combined with representation bias)” (Suresh and Guttag 2019, 5) Suresh and Gutag give the example of clinical aid tools for diabetic patients: statistically relevant differences between diabetics with different ethnicities mean that, even if there is sufficient representation across ethnicities in a training dataset, a one-size-fits-all model will not serve the interests of each group equally or well. Moreover, at a deeper level, the question of bias must be confronted rather than avoided. Data is always selected from a wider set of possible datapoints on the basis of assumptions, explicit or implicit, about the phenomenon it is being used to investigate. What counts as (problematic) “bias” is a methodological — and often an ethical — question. Similarly, given enough data an AI will find – or, as the example above suggests, obscure — multiple correlations, some of which we may wish to factor into"
Research paper-1.pdf,"phenomenon it is being used to investigate. What counts as (problematic) “bias” is a methodological — and often an ethical — question. Similarly, given enough data an AI will find – or, as the example above suggests, obscure — multiple correlations, some of which we may wish to factor into our analysis of the phenomenon and some of which we way wish to reject as artefacts or on ethical or political grounds. Concerns about bias in AI should serve as prompts 10for ongoing conversations about the basis on which we wish to make these decisions rather than be thought to constitute a reason to abjure AI. 3.4 Explainability A troubling property of some AI systems is that they may function as ‘black boxes’. This is especially the case where an AI utilises the complex computational architecture of neural networks. In deep learning, neural networks have multiple ‘hidden’ layers that each contain a large number of artificial neurons. Each of these neurons hold a partic- ular statistical weight or ‘bias’ that influences the final output of the system. During training, biases are commonly assigned at random and then optimised autonomously through a technique called backpropagation, wherein a particular backpropagation algorithm moves back through the layers of the network in reverse order, adjusting the biases of individual neurons in order to optimise the overall performance of the model. The reasoning behind each of these innumerable adjustments is not accessible, severely restricting our ability to understand or offer an explanation for the systems outputs once it has been trained. Perversely, the most accurate and useful AIs are often the least explainable (Burrell 2016). A number of authors have worried that the opacity of AI systems limits the capacity of designers to identify and mitigate risks to patients (Cabitza et al. 2017; Terrasse et"
Research paper-1.pdf,"outputs once it has been trained. Perversely, the most accurate and useful AIs are often the least explainable (Burrell 2016). A number of authors have worried that the opacity of AI systems limits the capacity of designers to identify and mitigate risks to patients (Cabitza et al. 2017; Terrasse et al. 2019; Watson et al. 2019). This worry does, however, need to be placed in perspective. Lack of explainability is already widely accepted across various domains of medical practice. London, for example, notes that ”modern clinicians prescribed aspirin as an analgesic for nearly a century without understanding the mechanism through which it works. Lithium has been used as a mood stabilizer for half a century, yet why it works remains uncertain” (London 2019, 17). If we can be justified in prescribing a drug without being able to explain how it works, or why it produces adverse outcomes in some patients but not others, then it seems we could be justified in relying on an AI that was generally reliable even where we don’t understand how it manages to be so. To the extent that we are solely concerned with medical outcomes, narrowly conceived, then the difficulty in explaining the internal functioning of AI does not distinguish them from other lacunae in medicine. Yet the practice of medicine involves more than just the cure of disease or illness – it also involves relations between persons. Explanation and understanding have become increasingly important to patients, as evidenced by the turn away from paternalism towards patient autonomy in medical ethics and practice over recent decades. Patients want to make their own choices about their health, or at least share the decision with their doctor. In this context, the opacity of AI does indeed appear to be problematic: it deprives patients of the opportunity"
Research paper-1.pdf,"paternalism towards patient autonomy in medical ethics and practice over recent decades. Patients want to make their own choices about their health, or at least share the decision with their doctor. In this context, the opacity of AI does indeed appear to be problematic: it deprives patients of the opportunity to receive answers about key questions related to their treatment. As we shall discuss further below, it also makes it difficult to identify the value judgments that have been made in the course of reaching a treatment decision or to check that the decision is in accordance with the patient’s own values. Moreover, in many contexts, medical decisions raise questions of justice, about the allocation of resources amongst persons. A Kantian notion of respect for autonomous agents requires that we can provide reasons to justify our treatment of other people. Ideally, a condition of a purported reason being a reason is that it is potentially something 11that the other party should accept — or at least recognise as normatively relevant to the situation. Arguably, the deliberations of black boxes can’t constitute reasons in this sense, as we are unable to follow or evaluate them. If people want to be able to make medical decisions in accordance with their values, or if people are going to be treated differently because of the deliberations of a machine, then, we have reason to prefer systems that enable us to track the reasons for the conclusions that they reach. 3.5 Trust The difficulty in explaining the deliberations of AI may also have implications for the future of trust in medicine and healthcare systems. Trust in one’s clinician has impor- tant advantages in any medical encounter. It allows one to feel comfortable revealing personal and sensitive information to them, to feel confident in their judgment"
